Genus,Species,q,r,Vr,CVN,MA_Yr,RW-Yr,EX_Yr,RL_Yr,GL_Yr,TL_Yr,MA_G,RW_G,EX_G,RL_G,GL_G,TL_G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Bufo,bufo,8,0.080752783,0.116747156,0.197579638,6.027264755,9.594703093,5.376249907,4.803912696,4.891584253,4.549055148,7.228326126,13.75605158,7.021837167,4.982641193,5.0339639,4.722821048,0,4.787491743,0,0.4,0.523809524,0.666666667,60,120,,2,36,180,,,1,3,1,1,2,1,1,1,,2500,2,5,1,2,LC,1
Bufo,canorus,11,-0.062554447,0.358623625,0.567108254,13.66744546,13.76010255,18.69815426,6.905034584,6.676597378,6.245100967,7.719181311,21.62307676,20.72326584,7.934372241,7.578942652,6.843459524,1,4.17438727,0.25,0.8,0.642857143,0.833333333,20,65,,2,40,180,,,1,4,1,1,3,2,2,2,,2000,3,5,1,2,EN,2
Bufo,terrestris,15,-0.086618866,3.430494288,1.101312171,9.151154719,20.72326584,20.72326584,10.3021517,8.919594425,8.58732443,10.56813752,20.72326584,20.72326584,12.17424694,10.21776226,9.983941637,0,4.382026635,0.25,0.4,0.5,0.666666667,60,80,,2,24,120,,,1,4,1,1,2,1,1,2,,2500,2,4,1,2,LC,1
Pseudacris,crucifer,15,-3.33296E-13,2.525255532,1.129653748,7.619713263,20.72326584,20.72326584,4.49204967,8.05247462,7.990450379,8.184936351,20.72326584,20.72326584,4.498320004,8.703667734,8.525051686,0,3.555348061,0.25,0.4,0.619047619,0.5,5,35,,2,12,48,,,1,5,1,1,2,1,1,2,,800,2,4,1,2,LC,1
Pseudacris,nigrita,15,-0.220945734,0.406631404,1.068608107,13.48221315,14.68257498,20.72326584,4.49204967,14.80701073,14.82617882,12.9964135,14.200528,20.72326584,4.498320004,13.92592181,14.81746451,0,3.218875825,0.25,0.4,0.5,0.5,5,25,,2,12,36,,,1,4,1,1,2,1,1,2,,200,2,4,1,2,LC,1
Pseudacris,ornata,15,-0.107295861,2.053160989,1.087867528,10.19718902,20.72326584,20.72326584,19.39087333,9.025134306,8.736368085,9.419772064,20.72326584,20.72326584,4.498320004,10.11561268,9.404260544,0,3.401197382,0.5,0.4,0.642857143,0.666666667,2,30,,2,12,72,,,1,4,1,1,2,1,1,3,,200,2,5,1,2,LC,1
Pseudacris,regilla,14,0.34822838,5.738690048,0.530876569,13.55373629,20.72326584,20.72326584,18.97463468,8.289338152,19.8009447,13.64946896,20.72326584,20.72326584,19.48129469,8.823312111,21.76663318,1,3.912023005,0.25,0.4,0.5,0.333333333,15,50,,2,10,36,,,1,4,1,1,2,1,1,2,,200,3,4,1,2,LC,1
Leiopelma,archeyi,10,0.005129329,0.639888607,0.543557307,14.45531178,16.63833586,16.2237213,7.273916542,6.34861522,6.077667922,8.338849687,20.72326584,20.72326584,9.878865544,7.010078802,6.682802759,1,3.555348061,0.5,0.8,1,0.833333333,5,35,,2,40,120,,,1,4,1,1,3,2,3,3,,2500,3,5,2,2,CD,2
Gastrophryne,carolinensis,15,-0.111598429,1.043733122,1.472009774,7.430462767,20.72326584,20.72326584,11.53745329,6.745132708,6.783871164,8.496648393,20.72326584,20.72326584,14.81669915,7.457295078,7.370932605,0,3.688879454,0.25,0.4,0.5,0.5,10,40,,2,24,60,,,1,4,1,1,2,1,1,2,,850,2,4,1,2,LC,1
Scaphiopus,holbrooki,13,-0.130128924,1.696356764,1.1060378,9.593962649,20.72326584,20.72326584,11.70757183,8.233947676,7.296766823,12.6134347,20.72326584,20.72326584,17.77385118,9.15547396,7.945821001,0,4.094344562,0.25,0.4,0.642857143,0.666666667,15,60,,2,18,120,,,1,4,1,1,2,1,1,2,,2000,2,5,1,2,LC,1
