BiotopeID,HabitatName,BiotopeType
1,"Boreal taiga forest","Coniferous forest"
2,"Semi-deciduous lowland rainforest","Deciduous forest"
3,"Lowland fen","Wetland"
4,"Coast","Coastal"
5,"River","Fluvial"
9,"Deciduous woodland","Deciduous forest"
10,"Continental shelf","Marine"
11,"Small island","Island"
12,"Subdivision of continental land mass","Unspecified habitat or no information"
13,"River estuary","Tidal/Intertidal"
14,"Mixed deciduous-coniferous woodland/forest","Mixed or unspecified forest"
15,"British Lowland farmland","Agricultural"
17,"US Old growth deciduous forest","Deciduous forest"
18,"Upland deciduous forest","Deciduous forest"
19,"Second growth forest","Mixed or unspecified forest"
20,"Oak woodland","Deciduous forest"
21,"Chalk grassland","Grassland"
23,"Tundra/Taiga","Grassland"
24,"Fennoscandian uplands","Montane"
25,"Heather moorland","Heath or Moor"
26,"Forest with garbage dumps","Deciduous forest"
28,"Chihuahuan desert community","Largely unvegetated"
29,"Mixed estate","Mixed habitat"
30,"Montane meadow","Montane"
31,"Mixed British lowland countryside","Mixed habitat"
32,"European urban/suburban","Urban/Suburban"
34,"Coastal Island","Island"
35,"Experimental Wheat Field","Agricultural"
36,"Intertidal Zone","Tidal/Intertidal"
37,"Coastal","Coastal"
38,"Larch-Cembran Pine Forest","Coniferous forest"
39,"Farmland (mixed - Arable)","Agricultural"
40,"Farmland (Lowland grazing, Sheep) -","Agricultural"
41,"Mixed farmland (equal Mix) - Farmsteads","Agricultural"
42,"Mixed Farmland - Equal  mix","Agricultural"
44,"Woodland (lowland scrub)","Deciduous forest"
45,"Woodland (lowland unknown)","Deciduous forest"
46,"Woodland (lowland high forest)","Deciduous forest"
47,"Woodland (coniferous)","Coniferous forest"
49,"Scots Pine plantation","Coniferous forest"
50,"Small flowing stream","Fluvial"
53,"Mixed Grass, Crops, Brush & Woody cover","Mixed habitat"
54,"Larch Woodland","Coniferous forest"
56,"Rocky Island","Island"
81,"No information supplied in source document","Unspecified habitat or no information"
82,"Sandstone rock outcrops and wind blown sandy areas","Largely unvegetated"
83,"Oak Woodland and grass orchards","Deciduous forest"
84,"River drainage basin","Fluvial"
85,"Wetland Basins/Drift Plain","Wetland"
86,"River Floodplain","Mixed habitat"
87,"Mixed Cropland","Agricultural"
88,"Sage Brush","Scrub"
89,"Organic Farmland","Agricultural"
90,"Mixed herbaceous fen","Wetland"
91,"Ancient Woodland","Mixed or unspecified forest"
92,"Wetland habitats","Wetland"
93,"Dune sytems","Largely unvegetated"
94,"Permanent pasture","Agricultural"
95,"Secondary Birch Woodland","Deciduous forest"
96,"Ancient Yew Woodland","Coniferous forest"
97,"Coastal Flats / Refuse tips (Unused)","Coastal"
98,"Mere","Limnetic"
99,"Dry heath and woodland","Mixed habitat"
100,"Reed Beds","Wetland"
101,"Scarp Slopes / Scrub community","Scrub"
102,"Mesotrophic to Eutrophic Lake","Limnetic"
104,"Grassland/Scrub","Grassland"
105,"Northern Temperate Lakes","Limnetic"
106,"Experimental Grassland","Grassland"
107,"Woodland/Farmland","Mixed habitat"
108,"Mixed Oak/Ash","Deciduous forest"
109,"Limestone Cliffs","Largely unvegetated"
110,"Viburnum Bushes","Specified plants as habitat"
111,"Wooded Savanna","Mixed habitat"
112,"Open Savannah","Grassland"
113,"Oak and Birch Woodland","Deciduous forest"
114,"Oak and Beech Woodland","Deciduous forest"
115,"Oak, Beech and Birch Woodland","Deciduous forest"
116,"Heathland and Farmland","Mixed habitat"
117,"Grazed mesic grassland","Grassland"
118,"Natural Forest","Mixed or unspecified forest"
119,"Subalpine Birch Wood","Deciduous forest"
120,"US Old-growth, Douglas fir forest","Coniferous forest"
121,"Cleared Forest","Mixed or unspecified forest"
122,"Managed Forest","Mixed or unspecified forest"
280,"Marine","Marine"
282,"Mixed Conifer-Hardwood Forest","Mixed or unspecified forest"
283,"Prairie land","Grassland"
284,"Grassland, Woodland and Rain Forest","Mixed habitat"
285,"Ocean","Marine"
286,"Suburbs, Residential Zone and Rain Forest","Urban/Suburban"
287,"Boreal forest, middle and northern zones","Coniferous forest"
288,"Boreal forest, southern zone (Scots pine & Norway spruce)","Coniferous forest"
289,"Cultivated Field","Agricultural"
290,"Grassland, grazed by deer and small mammals","Grassland"
291,"Oak forest","Deciduous forest"
292,"Agricultural Land","Agricultural"
293,"Coastal","Coastal"
294,"Ocean- Ice covered","Marine"
295,"Prairieland to Conifer forest","Mixed habitat"
296,"Prairieland to Tundra","Grassland"
297,"Roses","Specified plants as habitat"
298,"Sparsely wooded with arable land","Agricultural"
299,"Plantation, Corsican, Lodgepole and Jock pines","Coniferous forest"
300,"Mountain range","Montane"
301,"Mountain plateau","Montane"
302,"Forest, Firs and Spruce","Coniferous forest"
303,"Silt,sand and gravel, thin organic soil layer, shrubheath and spruce and fir","Mixed habitat"
304,"Vincetoxicum hirundinaria herb plants","Specified plants as habitat"
305,"Reef","Coastal"
306,"Small bays and shallow delta","Coastal"
307,"Marshland","Wetland"
308,"Aerial","Aerial"
309,"Moist to wet Heath (Erica-Calluna)","Heath or Moor"
310,"Moist Heath (mixed)","Heath or Moor"
311,"Moist to wet mixed heathland","Heath or Moor"
312,"Calcareous fen","Wetland"
313,"Tundra","Grassland"
314,"Coastal Tundra","Grassland"
316,"Pine woodland","Coniferous forest"
317,"Pine and Oak Woodland","Mixed or unspecified forest"
318,"Woodland","Mixed or unspecified forest"
319,"Farmland","Agricultural"
320,"Willows, sedges, marshland and coastal lagoons.","Wetland"
321,"Small tropical island","Island"
322,"Boreal forest, prairie and steppe","Mixed habitat"
323,"Mixed forest dominated by white spruce and aspen","Mixed or unspecified forest"
324,"Pinus resinosa seed production area","Coniferous forest"
325,"Paddocks","Agricultural"
326,"Sandy coniferous soiled forest","Coniferous forest"
327,"McIntosh Apple Trees","Specified plants as habitat"
328,"Delicious Apple Trees","Specified plants as habitat"
329,"Arctic-alpine tundra","Heath or Moor"
330,"Rain Forest","Mixed or unspecified forest"
331,"Shallow Bay","Coastal"
332,"Acidic grassland","Grassland"
