LocationID,ExactName,TownName,CountyStateProvince,Country,Continent,Ocean,LongitudeDegrees,LongitudeMinutes,EorW,LatitudeDegrees,LatitudeMinutes,NorS,LongDD,LatDD,North,East,South,West,Altitude,Area,Notes,SpatialAccuracy,LocationExtent
1,"Pechoro-Ilych Reserve","Not applicable","Komi Republic","Russian Federation","Europe","Not applicable",5.7000000000000000e+01,0.0000000000000000e+00,"E",6.2000000000000000e+01,0.0000000000000000e+00,"N",5.7000000000000000e+01,6.2000000000000000e+01,64.0000000000,59.5000000000,61.0000000000,53.5000000000,,7.2000000000000000e+05,"None",3,1
2,"Lutz site, Barro Colorado Island, Panama canal","Not applicable","Panama Canal zone","Panama","South America","Not applicable",7.9000000000000000e+01,5.0000000000000000e+01,"W",9.0000000000000000e+00,1.0000000000000000e+01,"N",-7.9833333333333329e+01,9.1666666666666661e+00,9.1700000000,-79.8300000000,9.1700000000,-79.8300000000,,8.8999999999999996e-02,"The site was 890 m^2 from 1971 to 1981 and 1450 m^2 in 1982 when it was increased in size to compensate for low lizard density, however this figure was adjusted. Isolated from mainland in 1914, with construction of Panama Canal",3,4
4,"British coastline","Not applicable","Not applicable","United Kingdom","Europe","Not applicable",1.0000000000000000e+00,0.0000000000000000e+00,"W",5.5000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+00,5.5000000000000000e+01,56.6500000000,1.7667000000,49.8833000000,-7.6500000000,,,"Area of sample covers 119 sites around the British coastline, latitude and Long. values are means for Great Britain.",1,1
5,"River Drammenselva","Drammen","Buskerud","Norway","Europe","Not applicable",1.0000000000000000e+01,0.0000000000000000e+00,"E",6.0000000000000000e+01,0.0000000000000000e+00,"N",1.0000000000000000e+01,6.0000000000000000e+01,60.0000000000,10.0000000000,60.0000000000,10.0000000000,,,"Discharge rate 225 cum/sec. Drainage area 17140sq km. River width at mouth 200m. Pulp mill pollution in mid 20th century, now much improved.",3,1
6,"Skagerrak","Not applicable","Not applicable","Norway","Europe","North Sea",1.0000000000000000e+01,0.0000000000000000e+00,"E",5.8000000000000000e+01,0.0000000000000000e+00,"N",1.0000000000000000e+01,5.8000000000000000e+01,59.0500000000,11.5000000000,57.0000000000,8.0000000000,0.0000000000000000e+00,,"None",4,2
7,"Norwegian coast","Not applicable","Not applicable","Norway","Europe","Not applicable",1.2000000000000000e+01,0.0000000000000000e+00,"E",5.8000000000000000e+01,0.0000000000000000e+00,"N",1.2000000000000000e+01,5.8000000000000000e+01,71.0000000000,31.0000000000,57.5000000000,4.7500000000,,,"Includes 300 sites in 10 survey areas from 58 N to 67 N.",1,1
8,"Wytham Wood","Wytham","Oxfordshire","UK - England","Europe","Not applicable",1.0000000000000000e+00,2.0000000000000000e+01,"W",5.1000000000000000e+01,4.2000000000000000e+01,"N",-1.3333333333333333e+00,5.1700000000000003e+01,51.7667000000,-1.2833000000,51.7500000000,-1.3333000000,,9.5900000000000000e+02,"1.8ha area within Wytham Wood. Bounding box coordinates for Wytham Wood.",4,2
9,"Froan (Islands)","Not applicable","Sor - Trondelag","Norway","Europe","Not applicable",8.0000000000000000e+00,3.2000000000000000e+01,"E",6.3000000000000000e+01,5.5000000000000000e+01,"N",8.5333333333333332e+00,6.3916666666666664e+01,64.1667000000,9.4000000000,63.9333000000,8.9833000000,,,"None",4,2
10,"Grogna","Not applicable","Sor - Trondelag","Norway","Europe","Not applicable",8.0000000000000000e+00,4.0000000000000000e+01,"E",6.3000000000000000e+01,5.0000000000000000e+01,"N",8.6666666666666661e+00,6.3833333333333336e+01,63.8300000000,8.6700000000,63.8300000000,8.6700000000,,,"None",4,2
12,"Melstein (Island)","Not applicable","Sor - Trondelag","Norway","Europe","Not applicable",9.0000000000000000e+00,1.5000000000000000e+01,"E",6.4000000000000000e+01,0.0000000000000000e+00,"N",9.2500000000000000e+00,6.4000000000000000e+01,63.9833000000,9.5833000000,63.9500000000,9.5667000000,,,"None",4,2
