citation,known_cause,reasons,notes,data_correct,,main_id,p10,common_name,taxon_name,exact_name,ref,notes,data_notes
\citep{potts1984},yes,environmental- and parisitic-caused cycles,"""T. tenuis has, we believe, an essential but not overwhelmingrole to play in determiningthe quasi-cyclic patterns of fluctuation;it is not the sole or even the major cause of them, but withoutthe parasitethey could not occur.""",yes,1,10128,0.99975,Red grouse,Lagopus lagopus scoticus,Scotland - un-named area,"Potts, G. et al 1984 Population fluctuations of red grouse: analysis of bag records and a simulation model. Journal of Animal Ecology, 53:21-36",quasi cyclic moor,Read from graphs digitally.
\citep{shaughnessy1982},yes,harvesting and predation changes,"Strong decrease in harvesting, loss of predators, 'diamond regulations' has reduced human traffic",yes?,2,7115,0.999,South African fur seal,Arctocephalus pusillus,South Africa,"Warneke, R.M. & Shaughnessy, P.D. 1985 Arctocephalus pusillus, the South African and Australian fur seal: taxonomy, evolution, biogeography, and life history. Studies of sea mammals in south latitudes, edited by John K. Ling and M.M. Bryden.",None,"See also: Best (1973), Shaughnessy (1982) and Shaughnessy (unpublished.. Data)."
\citep{broekhuizen1993} ,no,NA,"Not explained, but this site is smaller and sampling intensity decreased in recent years… suggestion that zeros more likely to therefore occur (and these are reported on log scale - probably actually zeros?)",yes,3,9382,0.99875,Pine looper or Bordered white,Bupalus piniaria,Kessock,"Broekhuizen, N., Evans, H.F. & Hassell, M.P. 1993 Site characteristics and the population dynamics of the pine looper moth. Journal of Animal Ecology, 62:511-518","The Forestry Commission divides each forest into compartments (5-10ha). Within a forest, about one in four compartments are surveyed, between Jan and March. The sampling method changed in 1962.",Read from graphs digitally.
\citep{saucy1994},yes,predator-environment cycle interactions,"A combination of interactions with its predators (creates strong 6-year cycle) combined with long-term enviornmental cycles (and delayed density dependence (no direct mention of the terrible years, but statement that data quality is good and verified by other data sources (trapping))",yes,4,10007,0.997,Water vole,Arvicola terrestris,Le Pont,"Saucy, F. 1994 Density dependence in time series of the fossorial form of the water vole, (Arvicola terrestris). Oikos, 71:381-392",Area of vole potential habitat 2.5 km^2,Read from graphs digitally.
\citep{potts1980} ,yes,red tide,good example red tide and low productivity,yes,5,6528,0.996,Shag,Phalacrocorax aristotelis,"Farne Islands, Northumberland","Potts, G.R., Coulson, J.C. & Deans, I.R. 1980 Population dynamics and breeding success of the Shag, Phalacrocorax aristotelis on the Farne Islands, Northumberland. Journal of Animal Ecology, 49:465-485",None,None
\citep{potts1984},yes,environmental- and parisitic-caused cycles,"""T. tenuis has, we believe, an essential but not overwhelmingrole to play in determiningthe quasi-cyclic patterns of fluctuation;it is not the sole or even the major cause of them, but withoutthe parasitethey could not occur.""",yes,6,10127,0.994,Red grouse,Lagopus lagopus scoticus,Scotland - un-named area,"Potts, G. et al 1984 Population fluctuations of red grouse: analysis of bag records and a simulation model. Journal of Animal Ecology, 53:21-36",non-quasi cyclic moor,Read from graphs digitally.
\citep{robertson1998},,IN LIBRARY,In LIBRARY QL 696 P63 A52 1998 (see desktop),IN LIBRARY,7,20527,0.9925,Wandering albatross,Diomedea exulans,Taiaroa,"Brooks, B., Traill, L. W., Bradshaw, C. J. A. 2006 Minimum viable population sizes and global extinction risk are unrelated. Ecology Letters, 9 (4), 375-382", Supplied by B. Brook (Uni. of Adelaide) ID: 20004,None
\citep{markkula1965},,NA,CAN'T LOCATE JOURNAL,,8,9655,0.988,Flea beetle,Chaetocnoma concinna,Finland,"Markkula, M 1965 The pests of cultivated plants in Finland 1965. Maatal Ja Koetoim 20:185-195","Data annual regardless of gens/year and are indices from 0 - 10.  Start and End dates relate to generation numbers, not calendar dates.",None
\citep{dobson1995} ,yes,parasites and predators,parasite and predator interactions,yes?,9,10113,0.986,Willow grouse,Lagopus lagopus,Northern England,"Dobson, A. & Hudson, P. 1994 The interaction between the parasites and predators of Red Grouse Lagopus lagpus scoticus. Ibis, 137:S87-S96",None,Read from graphs digitally.
\citep{newton1998},yes,severe winter,Severe winter (food under snow),yes?,10,1235,0.97975,Wren,Troglodytes troglodytes,"Eastern Wood, Bookham Common","Beven, G. 1976 Changes in breeding bird populations of an oak-wood on Bookham Common, Surrey, over twenty-seven years. The London Naturalist, 55:23-42",The number of territories of singing males in 16 hectares each spring.,"See also Williamson, M.H. (1981) Island Populations, Oxford University Press, Oxford. Also repeats data contained in Source ID 65."
