taxonomic_order url
"Gadiformes" http://phylopic.org/image/8d92b454-3131-4bbd-ac9c-e1df14c2fc5a/
"Salmoniformes" http://phylopic.org/image/7de72752-6afe-4c7c-97ff-bfd97e56923c/
"Perciformes" http://phylopic.org/image/426732d4-17c9-4e85-9672-b6b7f47eb99d/
"Anseriformes" http://phylopic.org/image/cf522e02-35cc-44f5-841c-0e642987c2e4/
"Lepidoptera" http://phylopic.org/image/0fde2bb6-0472-4273-bf46-2d6073fa8fbc/
"Carnivora" http://phylopic.org/image/20da6c7c-2584-4cee-921b-ebd09384567b/
"Rodentia" http://phylopic.org/image/bd3d2bc1-915c-4fa6-99b8-9a5fc6b725e0/
"Lagomorpha" http://phylopic.org/image/dea688b6-9168-4e79-a106-366888148eb1/
"Coleoptera" http://phylopic.org/image/77164e4b-8076-447b-a140-7a1f9f907da8/
"Odonata" http://phylopic.org/image/ce57b692-e1e0-468e-a025-8c10ceebca22/
"Passeriformes" http://phylopic.org/image/3d38baad-d355-432a-944c-07608828d0a4/
"Artiodactyla" http://phylopic.org/image/bb357997-4d4d-4e73-b853-d95a7a47ec68/
"Pleuronectiformes" http://phylopic.org/image/1cc605fb-013f-4997-b88c-6d2c71952e8d/
"Falconiformes" http://phylopic.org/image/6cebf754-cb71-448d-a5bb-947157205264/
"Charadriiformes" http://phylopic.org/image/60cede88-b9e5-4e2b-b5a7-6c26d027487d/
"Galliformes" http://phylopic.org/image/2de1c95c-7e1f-429b-9c08-17f0a27d176f/
"Diptera" http://phylopic.org/image/fdd9c1c9-7391-4e2b-af4e-a0d289fa9466/
"Hemiptera" http://phylopic.org/image/3010e744-6b06-4022-9ce6-354db93e99fe/
