DatasourceID,Author,Year,Title,Reference,Availability,ContactAddress,DataMedium,Notes
64,"Larkin, P.A. & McDonald, J.G.","1968","Factors in the population biology of the sockeye salmon of the Skeena River.","Journal of Animal Ecology, 37:229-58","Public Domain","None","Hard Copy - Graphical","None"
66,"Fitter, R.S.R.","1965","The breeding status of the Black Redstart in Great Britain.","British Birds, 58:481-491","Public Domain","None","Hard Copy - Tabular","None"
67,"Botsford, L.W., Wainwright, T.C., Smith. J.T., Mastrup, S. & Lott, D.F.","1988","Population dynamics of California quail related to meteorological conditions.","Journal of Wildlife Management, 52:469-477","Public Domain","None","Hard Copy - Graphical","None"
68,"Higgins, K., Leo, M. Albert, K. & Miller, H.","1992","Waterfowl production on the Woodworth station in south-central North Dakota, 1965-1981.","U.S. Fish and Wildlife Service. Resource Publication 180. 79pp.","Public Domain","None","Hard Copy - Tabular","None"
69,"Havera, S.P. & Kruse, G.W.","1988","Distribution and abundance of winter populations of bald eagles in Illinois.","Biological Notes 129 29pp","Public Domain","None","Hard Copy - Tabular","DataID 1585 from Illinois Natural History Survey, DataID 1586 from Fawks (Fawks, E. 1983. Elton Fawks and bald eagles.) and DataID 1587 from The I.A.S. Christmas bird count (1973 to 1980 by Struthers, K. and 1981 to 1987 by Stroyls, S.)."
73,"Krapu, G.L.","1986","Patterns and causes of change in a cliff swallow colony during a 17-year period.","Prairie Naturalist, 18:109-114","Public Domain","None","Hard Copy - Graphical","None"
74,"Hinds, W.T. & Rickard, W.H.","1973","Correlations between climatological fluctuations and a population of Philolithus densicollos (Horn) (Coloeptera: Tenbrionidae).","Journal of Animal Ecology, 42:341-351","Public Domain","None","Hard Copy - Graphical","None"
76,"Cooch, E.G. & Cooke, F.","1991","Demographic changes in a snow goose population: biological and management implications.","In: Perrins, C.M.,  Bird population studies: their relevance to conservation & management. Oxford University Press","Public Domain","None","Hard Copy - Graphical","None"
77,"Bayley, S., Stotts, V.D., Springer, P.F. & Steenis, J.","1978","Changes in submerged aquatic macrophyte populations at the head of Chesapeake Bay, 1958-1975.","Estuaries, 1:73-84","Public Domain","None","Hard Copy - Tabular","None"
78,"Graber, R.R. & Golden, J.S.","1960","Hawks and Owls: Population Trends from Illinois Christmas Counts.","Biological Notes 41","Public Domain","None","Hard Copy - Graphical","None"
79,"Pollard, E., Hall, M.L. & Bibby, T.J.","1986","Monitoring the abundance of butterflies 1976-1985.","Research and survey in nature conservation -  No.2  Nature Conservancy Council , UK","Public Domain","None","Hard Copy - Tabular","See also Pollard, E., Synchrony of population fluctuations: the dominant influence of widespread factors on local butterfly populations. Oikos, 60:7-10"
80,"Fa, J.E.","1984","Structure and Dynamics of the Barbary Macaque population in Gibraltar.","The Barbary Macaque - A case study in conservation ( Ed Fa) : p 263-306","Public Domain","None","Hard Copy - Graphical","None"
82,"Maberly, S.C., Hurley, M.A., Butterwick, C., Correy, J.E., Heaney, S.I., Irish, A.E., Jaworski., G.H.M., Lund., J.W.G., Reynolds, C.S. & Roscoe, J.V.","1994","The rise and fall of Asterionella formosa in the south basin of Windermere: analysis of a 45-year series of data.","Freshwater Biology, 31:19-34","Public Domain","None","Hard Copy - Graphical","None"
83,"Woiwod, I.P.","1980","Long term monitoring of moth populations at Broom's Barn.","Trans. Suffolk Naturalist Society, 18:204-209","Public Domain","None","Hard Copy - Graphical","None"
84,"Hutchings, M.J.","1987","The population biology of the Early Spider Orchid, Ophrys sphegodes Mill. 1. A demographic study from 1975-1984.","Journal of Ecology, 75:711-727","Public Domain","School of Biological Sciences, University of Sussex, Falmer, Brighton, Sussex, BN1 9QG","Hard Copy - Graphical","None"
1,"Beshkarev, A.B., Swenson, J.E., Angelstam, P., Andren, H. & Blagovidov, A.B.","1994","Long-term dynamics of hazel grouse populations in source- and sink-dominated pristine taiga landscapes.","Oikos, 71:375-380","Public Domain","J.E.Swenson, Norwegian Institute for Nature Research, Tungasletta 2, N-7005 Trondheim, Norway","Hard Copy - Graphical","None"
2,"Andrews, R.M.","1991","Population stability of a tropical lizard.","Ecology, 72:1204-1217","Public Domain","Dept. of Biology, Virginia Polytechnic Institute and State University, Blacksburg, Virgina, 24061 USA","Hard Copy - Graphical","None"
3,"Moore, N.W.","1991","The development of dragonfly communities and the consequences of territorial behaviour: A 27-year study on small ponds at Woodwalton Fen, Cambridgeshire, United Kingdom.","Odontologica, 20:203-231","Public Domain","None","Hard Copy - Tabular","None"
5,"Prys-Jones, R.P., Underhill, L.G. & Waters, R.J.","1994","Index numbers for waterbird populations. II.  Coastal wintering waders in the United Kingdom, 1970/71-1990/91.","Journal of Applied Ecology, 31:481-492","Public Domain","Estuaries Unit, Britsh Trust for Ornithology, The Nunnery, Thetford, Norfolk IP24 2PU, UK","Hard Copy - Tabular","See also: Cayford, J.T. & Waters, R.J., Population estimates for waders Charadrii wintering in Great Britain, 1987/88-1991/92., Biological Conservation, 77:7-17, 1996."
6,"Hansen, L.P., Naesje, T.F. & Garnas, E.","1986","Stock assessment and exploitation of Atlantic salmon Salmo salar L. in the river Drammenselv.","Fauna norv. Ser. A,  7: 23-26.","Public Domain","NINA, Tungasletta 2, 7005 Trondheim, Norway","Hard Copy - Graphical","None"
7,"Rov, N.","1995","Untitled raw data 3","Unpublished data 3","Restricted","NINA Tungasletta 2, 7005 Trondheim, Norway","Hard Copy - Graphical","Survey still in progress."
8,"Nygard, T.","1994","The national monitoring programme for wintering wildfowl in Norway 1980-93.","Refer NINA","Restricted","NINA, Tungasletta 2, 7005 Trondheim, Norway.","Hard Copy - Graphical","None"
9,"Southern, H.N.","1979","The stability and instability of small mammal populations.","Ecology of Small Mammals ed by D.M. Stoddart, Chapman & Hall, London","Public Domain","None","Hard Copy - Graphical","None"
10,"Rov, N.","1994","Population development in the Great Cormorant; indication of density-dependent regulation.","Breeding distribution, population status and regulation of breeding numbers in the Northeast-Atlantic great cormorant Phalcrocorax carbo carbo. Dr. scient. thesis in terrestrial ecology, University of Trondheim","Public Domain","NINA, Tungasletta 2, N-7005 Trondheim, Norway","Hard Copy - Graphical","None"
11,"Vader, W., Anker-Nilssen, T., Bakken, V., Barrett, R. & Strann, K-B.","1989","Regional and temporal differences in breeding success and population development of fisheating seabirds in Norway after collapses of herring and capelin stocks.","Trans. 19th IUGB Congress, Trondheim 1989. In: ""Food supply as a determinant of reproduction and population development in Norwegian puffins Fratercula artica. By Anker-Nilssen, T.","Public Domain","Tromso Museum, Univ. of Tromso, N-9000, Tromso, Norway","Hard Copy - Graphical","None"
12,"Novak, M., Obbard, M., Jones, J., Newman, R., Booth, A., Satterthwaite, A. & Linscombe, G.","1987","Furbearer harvests in North America, 1600-1984.","Ontario Trappers Association, Ontario","Public Domain","Ontario Trappers Association, 1971 Bond Street, P.O. Box 705, North Bay, Ontario, Canada","Hard Copy - Tabular","To be used in conjunction with: Wild Furbearer Management and Conservation in North America, Ed by: M. Novak, J. Baker, M. Obbard & B. Malloch, (1987) Ontario Trappers Association, 1971 Bond Street, P.O. Box 705, North Bay, Ontario, Canada"
13,"Williamson, M.H.","1983","The land-bird community of Skokholm: ordination and turnover.","Oikos, 41:378-384","Public Domain","Biology Dept., University of York, York, YO1 5DD, England","Hard Copy - Tabular","See also Lockley, Lack & Edward Grey Institute."
14,"Henderson, P.","1995","The marine community at Hinkley Point","Unpublished data 2","Unpublished","Pisces Conservation Ltd., IRC House, Pennington, Lymington, Hampshire, SO41 8GN","Magnetic disk","Survey still in progress."
15,"Anon.","1995","Rothamsted Experimental Station.","Refer Rothamsted","Restricted","Rothamsted Experimental Station, Harpenden, Herts, AL5 2JQ","Electronic transfer","None"
16,"Holmes, R.T., Sherry, T.W. & Sturges, F.W.","1986","Bird community dynamics in a temperate deciduous forest: Long-term trends at Hubbard Brook.","Ecological Monographs, 56:201-220","Public Domain","Dept. of Biological Sciences, Dartmouth College, Hanover, New Hampshire 03755, USA","Hard Copy - Tabular","Caution! The data for data IDs 10518 & 10519 were labelled unclearly. They may have been interpreted incorrectly."
17,"Kendeigh, S.C.","1982","Bird populations in east central Illinois: fluctuations, variation and development over a half-century.","Illinois Biological Monographs, 52:1-136","Public Domain","None","Hard Copy - Tabular","None"
18,"Batten, L.A. & Marchant, J.H.","1977","Bird population changes for the years 1974-75.","Bird Study p55?-59","Public Domain","None","Hard Copy - Graphical","None"
20,"Beven, G.","1976","Changes in breeding bird populations of an oak-wood on Bookham Common, Surrey, over twenty-seven years.","The London Naturalist, 55:23-42","Public Domain","None","Hard Copy - Tabular","See also Williamson, M.H. (1981) Island Populations, Oxford University Press, Oxford. Also repeats data contained in Source ID 65."
21,"Pollard, E.","1991","Monitoring butterfly numbers.","In: F.B.Goldsmith (ed) Monitoring for Conservation and Ecology. Chapman and Hall, 1991.","Public Domain","None","Hard Copy - Tabular","None"
22,"British Trust for Ornithology","1995","Constant Effort Sites Recording Scheme.","Private data","Restricted","BTO, The Nunnery, Thetford, Norfolk, IP24 2PU","Magnetic disk","None"
23,"Ekanayake, U.B.M.","1967","Parasitism of four species of Erranis.","D.Phil thesis","Public Domain","University of Oxford","Hard Copy - Graphical","None"
