MainID,TaxonID,DataSourceID,BiotopeID,LocationID,SamplingUnits,SamplingProtocol,SourceDimension,SamplingEffort,SpatialDensity,SourceTransform,SourceTransformReference,AssociatedDataSets,Reliability,StartYear,EndYear,SamplingFrequency,DatasetLength,Notes,SiblyFittedTheta,SiblyThetaCILower,SiblyThetaCIUpper,SiblyExtremeNEffect,SiblyReturnRate,SiblyCarryingCapacity
143,58,12,12,82,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1931,1981,"1",5.1000000000000000e+01,"Total catch including  states/provinces and/or years with missing data",-3.1600000000000001e+01,-3.1600000000000001e+01,-2.0000000000000000e+00,1,,
144,54,12,12,19,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-1.0000000000000000e+00,-2.0000000000000000e+00,-7.0000000000000007e-01,0,,
145,54,12,12,20,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-2.9999999999999999e-01,-5.9999999999999998e-01,-1.0000000000000001e-01,0,,
146,54,12,12,21,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-4.0000000000000002e-01,-3.1600000000000001e+01,-1.0000000000000001e-01,0,,
147,54,12,12,22,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",2.5100000000000002e+00,-1.0000000000000000e+00,6.3100000000000005e+00,0,,
148,54,12,12,23,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1951,1981,"1",3.1000000000000000e+01,"None",-1.2600000000000000e+00,-3.1600000000000001e+01,-1.0000000000000001e-01,0,,
149,54,12,12,24,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-1.2600000000000000e+00,-2.5100000000000002e+00,-5.0000000000000000e-01,0,,
150,54,12,12,25,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1943,1981,"1",3.9000000000000000e+01,"None",7.0000000000000007e-01,4.0000000000000002e-01,1.2000000000000000e+00,0,,
151,54,12,12,26,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-9.0000000000000002e-01,-1.5800000000000001e+00,-4.0000000000000002e-01,0,,
152,54,12,12,27,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",,,,0,,
153,54,12,12,28,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-3.1600000000000001e+01,-3.1600000000000001e+01,-3.1600000000000001e+00,0,,
154,54,12,12,29,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"None",-5.0099999999999998e+00,-3.1600000000000001e+01,-2.0000000000000000e+00,0,,
155,54,12,12,30,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1923,1981,"1",5.9000000000000000e+01,"None",,,,0,,
156,54,12,12,80,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1919,1981,"1",6.3000000000000000e+01,"Total catch including  provinces and/or years with missing data",,,,0,,
157,54,12,12,31,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1951,1981,"1",3.1000000000000000e+01,"None",,,,0,,
158,54,12,12,32,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1937,1981,"1",4.5000000000000000e+01,"None",-5.9999999999999998e-01,-1.2600000000000000e+00,-2.0000000000000001e-01,0,,
159,54,12,12,34,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1958,1981,"1",2.4000000000000000e+01,"None",,,,0,,
160,54,12,12,35,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1949,1981,"1",3.3000000000000000e+01,"None",1.0000000000000001e-01,-2.0000000000000000e+00,2.5100000000000002e+00,0,,
161,54,12,12,36,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1955,1981,"1",2.7000000000000000e+01,"None",2.0000000000000000e+00,-1.0000000000000000e+00,1.0000000000000000e+01,0,,
162,54,12,12,37,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1960,1981,"1",2.2000000000000000e+01,"None",-3.1600000000000001e+01,-3.1600000000000001e+01,5.0099999999999998e+00,1,,
163,54,12,12,40,"All Individuals","Count","Count","Sample","None","None","None","None",1.0000000000000000e+00,1943,1981,"1",3.9000000000000000e+01,"None",-5.0099999999999998e+00,-3.1600000000000001e+01,-2.0000000000000000e+00,0,,
