TaxonID,TaxonName,WoldaCode,Authority,TaxonomicLevel,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,TaxonomicFamily,TaxonomicGenus,Notes
1,"Bonasa bonasia","Not applicable","Linnaeus","Species","Hazel grouse","Chordata","Aves","Galliformes","Tetraonidae","Bonasa ","Also stated as Tetrastes bonasia. Usual habitat is woodland."
2,"Anolis limifrons","Not applicable","Unknown","Species","Anole lizard","Chordata","Reptilia","Squamata","Iguanidae","Anolis ","None"
3,"Ischnura elegans","Not applicable","Van der Linden","Species","Blue-tailed damselfly","Arthropoda","Insecta","Odonata","Coenagriidae","Ischnura ","None"
4,"Sympetrum striolatum","Not applicable","Charpentier","Species","Common darter","Arthropoda","Insecta","Odonata","Libellulidae","Sympetrum ","None"
5,"Libellula quadrimaculata","Not applicable","Linnaeus","Species","Four-spotted chaser","Arthropoda","Insecta","Odonata","Libellulidae","Libellula ","None"
6,"Coenagrion puella","Not applicable","Linnaeus","Species","Azure damselfly","Arthropoda","Insecta","Odonata","Coenagriidae","Coenagrion ","None"
7,"Lestes sponsa","Not applicable","Hansemann","Species","Emerald damselfly","Arthropoda","Insecta","Odonata","Lestidae","Lestes ","Typical habitats are eutrophic and brackish conditions, although it shows a preference for shallow, well vegetated areas."
9,"Haematopus ostralegus","Not applicable","Linnaeus","Species","Eurasian oystercatcher","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus ","None"
10,"Calidris canutus","Not applicable","Linnaeus","Species","Red knot","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris ","Breeds on tundra and winters in estuaries."
11,"Calidris alpina","Not applicable","Linnaeus","Species","Dunlin","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris ","Breeds on tundra, moorland and marshes. Winters on estuaries."
12,"Charadrius hiaticula","Not applicable","Linnaeus","Species","Ringed plover","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius ","Breeds on shingle beaches and estuaries. Winters on coasts and inland wetlands."
13,"Pluvialis squatarola","Not applicable","Linnaeus","Species","Grey plover or Black-bellied plover","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis ","Habitat: breeds lowland tundra, winters on coastal mud flats."
14,"Calidris alba","Not applicable","Pallas","Species","Sanderling","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris ","Habitat summer - arctic tundra, winter - sandy shores."
15,"Limosa limosa","Not applicable","Linnaeus","Species","Black-tailed godwit","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa ","None"
16,"Limosa lapponica","Not applicable","Linnaeus","Species","Bar-tailed godwit","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa ","Breeds on marshy and scrubby tundra. Winters on estuaries."
17,"Numenius arquata","Not applicable","Linnaeus","Species","Eurasian curlew","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius ","Breeds on open vegetated land and winters on coastal wetlands."
18,"Tringa totanus","Not applicable","Linnaeus","Species","Redshank","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa ","None"
19,"Arenaria interpres","Not applicable","Linnaeus","Species","Ruddy turnstone","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria ","Breeds on tundra and coastal plains. Winters in coastal areas."
20,"Gavia stellata","Not applicable","Pontoppidan","Species","Red-throated diver","Chordata","Aves","Gaviiformes","Gaviidae","Gavia ","Breeds on freshwater lakes and pools. Winters mainly on coastal waters."
21,"Gavia immer","Not applicable","Brunnich","Species","Great northern diver or Common loon","Chordata","Aves","Gaviiformes","Gaviidae","Gavia ","Breeds on large lakes and winters on coastal waters."
22,"Gavia adamsii","Not applicable","Gray","Species","White-billed diver","Chordata","Aves","Gaviiformes","Gaviidae","Gavia ","Habitat: breeds beside freshwater pools,  winters on coastal waters."
23,"Phalacrocorax carbo","Not applicable","Linnaeus","Species","Great cormorant","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax ","Typical habitat includes coastal and freshwater areas."
24,"Ardea cinerea","Not applicable","Linnaeus","Species","Grey heron","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea ","None"
25,"Cygnus olor","Not applicable","Linnaeus","Species","Mute swan","Chordata","Aves","Anseriformes","Anatidae","Cygnus ","None"
26,"Cygnus cygnus","Not applicable","Linnaeus","Species","Whooper swan","Chordata","Aves","Anseriformes","Anatidae","Cygnus ","None"
27,"Branta canadensis","Not applicable","Linnaeus","Species","Canada goose","Chordata","Aves","Anseriformes","Anatidae","Branta ","Habitat marshes, meadows, lakes rivers, tundra in migration also coastal waters."
28,"Anas platyrhynchos","Not applicable","Linnaeus","Species","Mallard","Chordata","Aves","Anseriformes","Anatidae","Anas ","Habitat ponds, lakes and streams Breeds in coastal marshes and ice free ponds."
29,"Aythya fuligula","Not applicable","Linnaeus","Species","Tufted duck","Chordata","Aves","Anseriformes","Anatidae","Aythya ","None"
30,"Somateria mollissima","Not applicable","Linnaeus","Species","Common eider","Chordata","Aves","Anseriformes","Anatidae","Somateria ","None"
31,"Somateria spectablis","Not applicable","Linnaeus","Species","King eider","Chordata","Aves","Anseriformes","Anatidae","Somateria ","None"
32,"Polysticta stelleri","Not applicable","Pallas","Species","Steller's eider","Chordata","Aves","Anseriformes","Anatidae","Polysticta ","None"
33,"Clangula hyemalis","Not applicable","Linnaeus","Species","Long-tailed duck or Oldsquaw","Chordata","Aves","Anseriformes","Anatidae","Clangula ","Breeds on tundra pools and winters in ocean bays."
34,"Melanitta nigra","Not applicable","Linnaeus","Species","Black scoter or Common Scoter","Chordata","Aves","Anseriformes","Anatidae","Melanitta ","Breeds on freshwater lakes and marshes. Winters in estuaries."
35,"Melanitta fusca","Not applicable","Linnaeus","Species","Velvet scoter or White-winged Scoter","Chordata","Aves","Anseriformes","Anatidae","Melanitta ","None"
36,"Bucephala clangula","Not applicable","Linnaeus","Species","Goldeneye","Chordata","Aves","Anseriformes","Anatidae","Bucephala ","Breeds on lakes and pools in forests. Winters on lakes and estuaries."
37,"Mergus serrator","Not applicable","Linnaeus","Species","Red-breasted merganser","Chordata","Aves","Anseriformes","Anatidae","Mergus ","Breeds by rivers, estuaries and coasts. Winters in estuaries and coastal areas."
38,"Mergus merganser","Not applicable","Linnaeus","Species","Goosander or Common Merganser","Chordata","Aves","Anseriformes","Anatidae","Mergus ","None"
39,"Fulica atra","Not applicable","Linnaeus","Species","Coot","Chordata","Aves","Gruiformes","Rallidae","Fulica ","Habitat lakes, ponds, marshes and river bays."
40,"Calidris maritima","Not applicable","Brunnich","Species","Purple sandpiper","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris ","None"
41,"Cepphus grylle","Not applicable","Linnaeus","Species","Black guillemot","Chordata","Aves","Charadriiformes","Alcidae","Cepphus ","None"
42,"Fratercula arctica","Not applicable","Linnaeus","Species","Puffin","Chordata","Aves","Charadriiformes","Alcidae","Fratercula ","Habitat open sea, breeds on coast."
