"","main_id","p10","common_name","taxon_name","exact_name","ref","notes","data_notes"
"1",7115,0.9995,"South African fur seal","Arctocephalus pusillus","South Africa","Warneke, R.M. & Shaughnessy, P.D. 1985 Arctocephalus pusillus, the South African and Australian fur seal: taxonomy, evolution, biogeography, and life history. Studies of sea mammals in south latitudes, edited by John K. Ling and M.M. Bryden.","None","See also: Best (1973), Shaughnessy (1982) and Shaughnessy (unpublished.. Data)."
"2",9382,0.999,"Pine looper or Bordered white","Bupalus piniaria","Kessock","Broekhuizen, N., Evans, H.F. & Hassell, M.P. 1993 Site characteristics and the population dynamics of the pine looper moth. Journal of Animal Ecology, 62:511-518","The Forestry Commission divides each forest into compartments (5-10ha). Within a forest, about one in four compartments are surveyed, between Jan and March. The sampling method changed in 1962.","Read from graphs digitally."
"3",6528,0.9975,"Shag","Phalacrocorax aristotelis","Farne Islands, Northumberland","Potts, G.R., Coulson, J.C. & Deans, I.R. 1980 Population dynamics and breeding success of the Shag, Phalacrocorax aristotelis on the Farne Islands, Northumberland. Journal of Animal Ecology, 49:465-485","None","None"
"4",10007,0.9975,"Water vole","Arvicola terrestris","Le Pont","Saucy, F. 1994 Density dependence in time series of the fossorial form of the water vole, (Arvicola terrestris). Oikos, 71:381-392","Area of vole potential habitat 2.5 km^2","Read from graphs digitally."
"5",10127,0.996,"Red grouse","Lagopus lagopus scoticus","Scotland - un-named area","Potts, G. et al 1984 Population fluctuations of red grouse: analysis of bag records and a simulation model. Journal of Animal Ecology, 53:21-36","non-quasi cyclic moor","Read from graphs digitally."
"6",10128,0.9945,"Red grouse","Lagopus lagopus scoticus","Scotland - un-named area","Potts, G. et al 1984 Population fluctuations of red grouse: analysis of bag records and a simulation model. Journal of Animal Ecology, 53:21-36","quasi cyclic moor","Read from graphs digitally."
"7",20527,0.9935,"Wandering albatross","Diomedea exulans","Taiaroa","Brooks, B., Traill, L. W., Bradshaw, C. J. A. 2006 Minimum viable population sizes and global extinction risk are unrelated. Ecology Letters, 9 (4), 375-382"," Supplied by B. Brook (Uni. of Adelaide) ID: 20004","None"
"8",9655,0.991,"Flea beetle","Chaetocnoma concinna","Finland","Markkula, M 1965 The pests of cultivated plants in Finland 1965. Maatal Ja Koetoim 20:185-195","Data annual regardless of gens/year and are indices from 0 - 10.  Start and End dates relate to generation numbers, not calendar dates.","None"
"9",6566,0.9815,"Turbot","Psetta maxima","North Sea","Heesen, H.J.L. 1996 Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey. ICES Journal of Marine Science, 53:1079-1084","None","None"
"10",10113,0.981,"Willow grouse","Lagopus lagopus","Northern England","Dobson, A. & Hudson, P. 1994 The interaction between the parasites and predators of Red Grouse Lagopus lagpus scoticus. Ibis, 137:S87-S96","None","Read from graphs digitally."
"11",20579,0.9805,"Grey heron","Ardea cinerea","Southern Britain","Brooks, B., Traill, L. W., Bradshaw, C. J. A. 2006 Minimum viable population sizes and global extinction risk are unrelated. Ecology Letters, 9 (4), 375-382"," Supplied by B. Brook (Uni. of Adelaide) ID: 30026","None"
"12",1235,0.975,"Wren","Troglodytes troglodytes","Eastern Wood, Bookham Common","Beven, G. 1976 Changes in breeding bird populations of an oak-wood on Bookham Common, Surrey, over twenty-seven years. The London Naturalist, 55:23-42","The number of territories of singing males in 16 hectares each spring.","See also Williamson, M.H. (1981) Island Populations, Oxford University Press, Oxford. Also repeats data contained in Source ID 65."
"13",9667,0.9745,"Gooseberry sawfly","Nemastus ribesii","Finland","Markkula, M 1965 The pests of cultivated plants in Finland 1965. Maatal Ja Koetoim 20:185-195","Data annual regardless of gens/year and are indices from 0 - 10.  Start and End dates relate to generation numbers, not calendar dates.","None"
